x,y,z,u,v,nx,ny,nz
-6.52200677,106.43663096,60.76532832,0.2228,0.9427,0.0,0.0,0.0
-12.47845155,102.76717737,62.65793274,0.221,0.9341,0.0,0.0,0.0
-10.95323425,101.62232257,60.01061911,0.225,0.9345,0.0,0.0,0.0
-59.3508062,70.73844686,20.7482616,0.2384,0.8311,0.0,0.0,0.0
-57.57249374,69.47763853,29.6623266,0.2366,0.8445,0.0,0.0,0.0
-63.01314158,69.74645721,25.79199065,0.2326,0.8359,0.0,0.0,0.0
-85.05122171,110.43136515,-13.34082029,0.1794,0.7717,0.0,0.0,0.0
-87.86212739,106.7470803,-8.06181145,0.181,0.7797,0.0,0.0,0.0
-89.55615147,115.34403577,-11.22208367,0.1706,0.7737,0.0,0.0,0.0
48.41979009,119.78055135,0.84791321,0.2946,0.2265,0.0,0.0,0.0
48.16290384,118.28182412,-2.11458193,0.2974,0.2231,0.0,0.0,0.0
48.6578914,120.44468277,-0.2806941,0.2962,0.2267,0.0,0.0,0.0
-101.58261919,154.98649602,5.88473323,0.1137,0.7857,0.0,0.0,0.0
-101.03677307,156.66517331,11.25986969,0.1101,0.7919,0.0,0.0,0.0
-100.78859919,157.9441202,4.6849041,0.11,0.7838,0.0,0.0,0.0
74.98930989,177.87075939,-56.65947067,0.3705,0.9439,0.0,0.0,0.0
78.74497517,175.64578391,-55.47923497,0.3763,0.9431,0.0,0.0,0.0
77.12515501,174.94393983,-53.48637277,0.3767,0.9459,0.0,0.0,0.0
-57.55785282,129.69665676,-40.04327324,0.1765,0.7208,0.0,0.0,0.0
-62.84732484,136.52358386,-39.24276159,0.1649,0.7221,0.0,0.0,0.0
-57.57520223,137.11915041,-41.56478669,0.1677,0.7155,0.0,0.0,0.0
88.74335842,0.69245755,-4.63347797,0.6699,0.6544,0.0,0.0,0.0
89.71042044,4.72502337,-8.10235305,0.664,0.6581,0.0,0.0,0.0
84.62381951,3.42672841,-3.27729993,0.6658,0.649,0.0,0.0,0.0
-22.35531656,-36.66187537,46.37750092,0.733,0.5145,0.0,0.0,0.0
-10.53706257,-40.99615832,48.37347213,0.7344,0.5281,0.0,0.0,0.0
-9.87266942,-33.21545389,44.23357791,0.7243,0.5261,0.0,0.0,0.0
-78.06262588,-51.24392098,12.04881673,0.3389,0.3123,0.0,0.0,0.0
-74.76090045,-44.44108081,8.31099755,0.3467,0.3188,0.0,0.0,0.0
-69.12148192,-44.40606474,8.80016662,0.3451,0.3258,0.0,0.0,0.0
-105.82789868,-12.79966843,16.51741087,0.7494,0.4125,0.0,0.0,0.0
-104.53224083,-9.16711852,13.3582163,0.7441,0.4095,0.0,0.0,0.0
-108.85474601,-11.03397444,14.05000367,0.7498,0.4074,0.0,0.0,0.0
-137.90312164,36.97024278,-64.38810704,0.7188,0.2904,0.0,0.0,0.0
-127.08721837,39.77121071,-66.32127934,0.7057,0.2929,0.0,0.0,0.0
-129.63335818,37.44514468,-69.53831982,0.7083,0.2876,0.0,0.0,0.0
38.54353083,-57.45857851,9.01382509,0.53,0.6473,0.0,0.0,0.0
